COLEGIADOS                                                                                          	[seguros_src_f_alta]                                                                                	seguros_src_f_alta                                                                                  
COLEGIADOS                                                                                          	[tasad_n_poliza]                                                                                    	tasad_n_poliza                                                                                      
COLEGIADOS                                                                                          	[t_baja]                                                                                            	t_baja                                                                                              
COLEGIADOS                                                                                          	[t_alta]                                                                                            	t_alta                                                                                              
COLEGIADOS                                                                                          	[situacion]                                                                                         	situacion                                                                                           
COLEGIADOS                                                                                          	[tratamiento]                                                                                       	tratamiento                                                                                         
COLEGIADOS                                                                                          	[sexo]                                                                                              	sexo                                                                                                
COLEGIADOS                                                                                          	[tipo_persona]                                                                                      	tipo_persona                                                                                        
COLEGIADOS                                                                                          	[tasad_cia]                                                                                         	tasad_cia                                                                                           
COLEGIADOS                                                                                          	[src_cia]                                                                                           	src_cia                                                                                             
COLEGIADOS                                                                                          	[@@]                                                                                                	articulo                                                                                            
COLEGIADOS                                                                                          	[@]                                                                                                 	sufijo                                                                                              
COLEGIADOS                                                                                          	[@lugar@]                                                                                           	lugar                                                                                               
COLEGIADOS                                                                                          	[@fecha@]                                                                                           	fecha                                                                                               
COLEGIADOS                                                                                          	[@lugar_fecha@]                                                                                     	lugar_fecha                                                                                         
COLEGIADOS                                                                                          	[n_consejo]                                                                                         	n_consejo                                                                                           
COLEGIADOS                                                                                          	[demarcacion]                                                                                       	demarcacion                                                                                         
COLEGIADOS                                                                                          	[colegio]                                                                                           	colegio                                                                                             
COLEGIADOS                                                                                          	[escuela]                                                                                           	escuela                                                                                             
COLEGIADOS                                                                                          	[f_titulacion]                                                                                      	f_titulacion                                                                                        
COLEGIADOS                                                                                          	[f_colegiacion]                                                                                     	f_colegiacion                                                                                       
COLEGIADOS                                                                                          	[f_baja]                                                                                            	f_baja                                                                                              
COLEGIADOS                                                                                          	[f_alta_cabecera]                                                                                   	f_alta_cabecera                                                                                     
COLEGIADOS                                                                                          	[f_situacion]                                                                                       	f_situacion                                                                                         
COLEGIADOS                                                                                          	[alta_baja]                                                                                         	alta_baja                                                                                           
COLEGIADOS                                                                                          	[c_geografico]                                                                                      	c_geografico                                                                                        
COLEGIADOS                                                                                          	[delegacion]                                                                                        	delegacion                                                                                          
COLEGIADOS                                                                                          	[ret_voluntaria]                                                                                    	ret_voluntaria                                                                                      
COLEGIADOS                                                                                          	[datos_bancarios]                                                                                   	datos_bancarios                                                                                     
COLEGIADOS                                                                                          	[irpf]                                                                                              	irpf                                                                                                
COLEGIADOS                                                                                          	[forma_de_pago]                                                                                     	forma_de_pago                                                                                       
COLEGIADOS                                                                                          	[iva_igic]                                                                                          	iva_igic                                                                                            
COLEGIADOS                                                                                          	[nombre_banco]                                                                                      	nombre_banco                                                                                        
COLEGIADOS                                                                                          	[banco_domic]                                                                                       	banco_domic                                                                                         
COLEGIADOS                                                                                          	[cuenta_domic]                                                                                      	cuenta_domic                                                                                        
COLEGIADOS                                                                                          	[nombre_empresa]                                                                                    	nombre_empresa                                                                                      
COLEGIADOS                                                                                          	[poblacion_empresa]                                                                                 	poblacion_empresa                                                                                   
COLEGIADOS                                                                                          	[domicilio_empresa]                                                                                 	domicilio_empresa                                                                                   
COLEGIADOS                                                                                          	[cuenta_empresa]                                                                                    	cuenta_empresa                                                                                      
COLEGIADOS                                                                                          	[nif_empresa]                                                                                       	nif_empresa                                                                                         
COLEGIADOS                                                                                          	[rec_circulares]                                                                                    	rec_circulares                                                                                      
COLEGIADOS                                                                                          	[per_cesion_dat]                                                                                    	per_cesion_dat                                                                                      
COLEGIADOS                                                                                          	[email]                                                                                             	email                                                                                               
COLEGIADOS                                                                                          	[domic_fiscal]                                                                                      	domic_fiscal                                                                                        
COLEGIADOS                                                                                          	[domic_activo]                                                                                      	domic_activo                                                                                        
COLEGIADOS                                                                                          	[seguros_n_mutualista]                                                                              	seguros_n_mutualista                                                                                
COLEGIADOS                                                                                          	[seguros_src_alta]                                                                                  	seguros_src_alta                                                                                    
COLEGIADOS                                                                                          	[seguros_src_cober]                                                                                 	seguros_src_cober                                                                                   
COLEGIADOS                                                                                          	[seguros_src_coef_cm]                                                                               	seguros_src_coef_cm                                                                                 
COLEGIADOS                                                                                          	[seguros_accid_cia]                                                                                 	seguros_accid_cia                                                                                   
COLEGIADOS                                                                                          	[seguros_accid_poliza]                                                                              	seguros_accid_poliza                                                                                
COLEGIADOS                                                                                          	[seguros_accid_alta]                                                                                	seguros_accid_alta                                                                                  
COLEGIADOS                                                                                          	[seguros_src_bonimp]                                                                                	seguros_src_bonimp                                                                                  
COLEGIADOS                                                                                          	[mut_alta]                                                                                          	mut_alta                                                                                            
COLEGIADOS                                                                                          	[mut_n_mutualista]                                                                                  	mut_n_mutualista                                                                                    
COLEGIADOS                                                                                          	[mut_f_alta_c2]                                                                                     	mut_f_alta_c2                                                                                       
COLEGIADOS                                                                                          	[mut_imp_pagar_c1]                                                                                  	mut_imp_pagar_c1                                                                                    
COLEGIADOS                                                                                          	[mut_f_alta_c1]                                                                                     	mut_f_alta_c1                                                                                       
COLEGIADOS                                                                                          	[mut_imp_pagar]                                                                                     	mut_imp_pagar                                                                                       
COLEGIADOS                                                                                          	[mut_f_alta]                                                                                        	mut_f_alta                                                                                          
COLEGIADOS                                                                                          	[mut_grupo]                                                                                         	mut_grupo                                                                                           
COLEGIADOS                                                                                          	[mut_imp_pagar_c2]                                                                                  	mut_imp_pagar_c2                                                                                    
COLEGIADOS                                                                                          	[mut_imp_cobrar]                                                                                    	mut_imp_cobrar                                                                                      
COLEGIADOS                                                                                          	[mut_total_pagar]                                                                                   	mut_total_pagar                                                                                     
COLEGIADOS                                                                                          	[n_colegiado]                                                                                       	n_colegiado                                                                                         
COLEGIADOS                                                                                          	[nombre_completo]                                                                                   	nombre_completo                                                                                     
COLEGIADOS                                                                                          	[musaat_n_mutlist]                                                                                  	musaat_n_mutlist                                                                                    
COLEGIADOS                                                                                          	[nif]                                                                                               	nif                                                                                                 
COLEGIADOS                                                                                          	[accid_cia]                                                                                         	accid_cia                                                                                           
COLEGIADOS                                                                                          	[accid_n_poliza]                                                                                    	accid_n_poliza                                                                                      
COLEGIADOS                                                                                          	[accid_cober_f_baja]                                                                                	accid_cober_f_baja                                                                                  
COLEGIADOS                                                                                          	[accid_cober_f_alta]                                                                                	accid_cober_f_alta                                                                                  
COLEGIADOS                                                                                          	[accid_cober_invalid]                                                                               	accid_cober_invalid                                                                                 
COLEGIADOS                                                                                          	[accid_cober_muerte]                                                                                	accid_cober_muerte                                                                                  
COLEGIADOS                                                                                          	[accid_f_baja]                                                                                      	accid_f_baja                                                                                        
COLEGIADOS                                                                                          	[accid_f_alta]                                                                                      	accid_f_alta                                                                                        
COLEGIADOS                                                                                          	[accid_alta]                                                                                        	accid_alta                                                                                          
COLEGIADOS                                                                                          	[accid_importe]                                                                                     	accid_importe                                                                                       
COLEGIADOS                                                                                          	[accid_asistencia]                                                                                  	accid_asistencia                                                                                    
COLEGIADOS                                                                                          	[perit_cia]                                                                                         	perit_cia                                                                                           
COLEGIADOS                                                                                          	[perit_importe]                                                                                     	perit_importe                                                                                       
COLEGIADOS                                                                                          	[perit_n_poliza]                                                                                    	perit_n_poliza                                                                                      
COLEGIADOS                                                                                          	[perit_f_alta]                                                                                      	perit_f_alta                                                                                        
COLEGIADOS                                                                                          	[perit_alta]                                                                                        	perit_alta                                                                                          
COLEGIADOS                                                                                          	[perit_cober_f_baja]                                                                                	perit_cober_f_baja                                                                                  
COLEGIADOS                                                                                          	[perit_cober_f_alta]                                                                                	perit_cober_f_alta                                                                                  
COLEGIADOS                                                                                          	[perit_cober]                                                                                       	perit_cober                                                                                         
COLEGIADOS                                                                                          	[perit_f_baja]                                                                                      	perit_f_baja                                                                                        
COLEGIADOS                                                                                          	[musaat_otros]                                                                                      	musaat_otros                                                                                        
COLEGIADOS                                                                                          	[premaat_alta]                                                                                      	premaat_alta                                                                                        
COLEGIADOS                                                                                          	[premaat_nom_hered]                                                                                 	premaat_nom_hered                                                                                   
COLEGIADOS                                                                                          	[premaat_nif_hered]                                                                                 	premaat_nif_hered                                                                                   
COLEGIADOS                                                                                          	[premaat_f_pasivo]                                                                                  	premaat_f_pasivo                                                                                    
COLEGIADOS                                                                                          	[premaat_n_mutlist]                                                                                 	premaat_n_mutlist                                                                                   
COLEGIADOS                                                                                          	[premaat_situacion]                                                                                 	premaat_situacion                                                                                   
COLEGIADOS                                                                                          	[premaat_tipo_prest]                                                                                	premaat_tipo_prest                                                                                  
COLEGIADOS                                                                                          	[premaat_n_conyuges]                                                                                	premaat_n_conyuges                                                                                  
COLEGIADOS                                                                                          	[premaat_tipo_mutlist]                                                                              	premaat_tipo_mutlist                                                                                
COLEGIADOS                                                                                          	[premaat_forma_pago]                                                                                	premaat_forma_pago                                                                                  
COLEGIADOS                                                                                          	[premaat_f_baja]                                                                                    	premaat_f_baja                                                                                      
COLEGIADOS                                                                                          	[premaat_n_hijos]                                                                                   	premaat_n_hijos                                                                                     
COLEGIADOS                                                                                          	[premaat_f_alta]                                                                                    	premaat_f_alta                                                                                      
COLEGIADOS                                                                                          	[premaat_forma_cobro]                                                                               	premaat_forma_cobro                                                                                 
COLEGIADOS                                                                                          	[premaat_f_alta_c1]                                                                                 	premaat_f_alta_c1                                                                                   
COLEGIADOS                                                                                          	[premaat_grupo_c1]                                                                                  	premaat_grupo_c1                                                                                    
COLEGIADOS                                                                                          	[premaat_imp_pagar]                                                                                 	premaat_imp_pagar                                                                                   
COLEGIADOS                                                                                          	[premaat_imp_pag_c1]                                                                                	premaat_imp_pag_c1                                                                                  
COLEGIADOS                                                                                          	[premaat_grupo_c2]                                                                                  	premaat_grupo_c2                                                                                    
COLEGIADOS                                                                                          	[premaat_f_alta_c2]                                                                                 	premaat_f_alta_c2                                                                                   
COLEGIADOS                                                                                          	[premaat_total_pagar]                                                                               	premaat_total_pagar                                                                                 
COLEGIADOS                                                                                          	[premaat_imp_pag_c2]                                                                                	premaat_imp_pag_c2                                                                                  
COLEGIADOS                                                                                          	[premaat_imp_cobrar]                                                                                	premaat_imp_cobrar                                                                                  
COLEGIADOS                                                                                          	[domicilio]                                                                                         	domicilio                                                                                           
COLEGIADOS                                                                                          	[premaat_grupo]                                                                                     	premaat_grupo                                                                                       
COLEGIADOS                                                                                          	[pr1_direccion]                                                                                     	pr1_direccion                                                                                       
COLEGIADOS                                                                                          	[pr1_poblacion]                                                                                     	pr1_poblacion                                                                                       
COLEGIADOS                                                                                          	[pr1_cp]                                                                                            	pr1_cp                                                                                              
COLEGIADOS                                                                                          	[pr1_provincia]                                                                                     	pr1_provincia                                                                                       
COLEGIADOS                                                                                          	[pr1_telefono]                                                                                      	pr1_telefono                                                                                        
COLEGIADOS                                                                                          	[pr1_fax]                                                                                           	pr1_fax                                                                                             
COLEGIADOS                                                                                          	[pr1_mail]                                                                                          	pr1_mail                                                                                            
COLEGIADOS                                                                                          	[pr2_direccion]                                                                                     	pr2_direccion                                                                                       
COLEGIADOS                                                                                          	[pr2_cp]                                                                                            	pr2_cp                                                                                              
COLEGIADOS                                                                                          	[pr2_poblacion]                                                                                     	pr2_poblacion                                                                                       
COLEGIADOS                                                                                          	[pr2_provincia]                                                                                     	pr2_provincia                                                                                       
COLEGIADOS                                                                                          	[pr2_telefono]                                                                                      	pr2_telefono                                                                                        
COLEGIADOS                                                                                          	[pr2_fax]                                                                                           	pr2_fax                                                                                             
COLEGIADOS                                                                                          	[pr2_mail]                                                                                          	pr2_mail                                                                                            
COLEGIADOS                                                                                          	[pr1_movil]                                                                                         	pr1_movil                                                                                           
COLEGIADOS                                                                                          	[part1_cp]                                                                                          	part1_cp                                                                                            
COLEGIADOS                                                                                          	[part1_poblacion]                                                                                   	part1_poblacion                                                                                     
COLEGIADOS                                                                                          	[part1_direccion]                                                                                   	part1_direccion                                                                                     
COLEGIADOS                                                                                          	[pr2_movil]                                                                                         	pr2_movil                                                                                           
COLEGIADOS                                                                                          	[part1_telefono]                                                                                    	part1_telefono                                                                                      
COLEGIADOS                                                                                          	[part1_provincia]                                                                                   	part1_provincia                                                                                     
COLEGIADOS                                                                                          	[part1_mail]                                                                                        	part1_mail                                                                                          
COLEGIADOS                                                                                          	[part1_fax]                                                                                         	part1_fax                                                                                           
COLEGIADOS                                                                                          	[part1_movil]                                                                                       	part1_movil                                                                                         
COLEGIADOS                                                                                          	[poblacion]                                                                                         	poblacion                                                                                           
COLEGIADOS                                                                                          	[apellido2]                                                                                         	apellido2                                                                                           
COLEGIADOS                                                                                          	[apellido1]                                                                                         	apellido1                                                                                           
COLEGIADOS                                                                                          	[nombre]                                                                                            	nombre                                                                                              
COLEGIADOS                                                                                          	[anyo_titulacion]                                                                                   	anyo_titulacion                                                                                     
COLEGIADOS                                                                                          	[agrupaciones]                                                                                      	agrupaciones                                                                                        
COLEGIADOS                                                                                          	[f_nacimiento]                                                                                      	f_nacimiento                                                                                        
COLEGIADOS                                                                                          	[datos_sociedades]                                                                                  	datos_sociedades                                                                                    
COLEGIADOS                                                                                          	[direccion_correo]                                                                                  	direccion_correo                                                                                    
COLEGIADOS                                                                                          	[direccion_fiscal]                                                                                  	direccion_fiscal                                                                                    
COLEGIADOS                                                                                          	[funcionario]                                                                                       	funcionario                                                                                         
COLEGIADOS                                                                                          	[contratado]                                                                                        	contratado                                                                                          
COLEGIADOS                                                                                          	[administrador]                                                                                     	administrador                                                                                       
COLEGIADOS                                                                                          	[apellidos]                                                                                         	apellidos                                                                                           
0000000001                                                                                          	n_colegiado                                                                                         	n_colegiado                                                                                         
0000000005                                                                                          	DESTINO                                                                                             	DESTINO                                                                                             
